,ETkc,petsum,aetsum,aetimsum,petimsum,kc_mean,irr_frac
2001-01-01,0.006937692132364028,0.011921085861531644,0.0033952056532060336,0.0050063396484375,0.017967420703125,0.3471499,0.9178272935609785
2001-02-01,0.008063949991993946,0.016638195305955568,0.006776400888302306,0.007573229296875,0.018576179296875002,0.38731268,0.9178272935609785
2001-03-01,0.015655912227777687,0.031630091354002916,0.012173037504474087,0.013670639648437502,0.0354916828125,0.40207294,0.9178272935609785
2001-04-01,0.015069468799102329,0.029367851978491982,0.009186962503178308,0.010177470703125,0.03248540859375001,0.42643675,0.9178272935609785
2001-05-01,0.044093437420589555,0.062317494401790366,0.008948577983651103,0.009663209472656252,0.0676414828125,0.6195802,0.9178272935609785
2001-06-01,0.047577318478906894,0.04364568173517792,0.004211996230677426,0.00455876982421875,0.04736295000000001,0.9516899,0.9178272935609785
2001-07-01,0.07507530116599549,0.06276123047759515,0.013215707249799665,0.014328,0.06810345000000001,1.0325793,0.9178272935609785
2001-08-01,0.07276577603497052,0.0605738588161496,0.007601991674242005,0.00821456982421875,0.0657443671875,1.0428635,0.9178272935609785
2001-09-01,0.046835169358523096,0.051351863692194945,0.006345630818021941,0.0068654698242187505,0.05573610000000001,0.80326504,0.9178272935609785
2001-10-01,0.01599437244968395,0.027930039106955244,0.0031231208444535037,0.0034228799560546874,0.030749670703125002,0.5074685,0.9178272935609785
2001-11-01,0.0066977218498061155,0.014672005382865578,0.0031704697526780674,0.0038691000000000008,0.018069391406250003,0.35059533,0.9178272935609785
2001-12-01,0.004499749257039842,0.01107205548734339,0.0035288926536596074,0.0040773603515625,0.0128363396484375,0.3256387,0.9178272935609785
2002-01-01,0.005133685914861897,0.011730580837762888,0.0037773899760062536,0.004320809912109375,0.013422600000000002,0.3471499,0.9178272935609785
2002-02-01,0.012189261120776904,0.024925959659319128,0.0074223291712420345,0.008491320703125,0.028828979296875005,0.38731268,0.9178272935609785
2002-03-01,0.014078685176442672,0.02871952120476624,0.00806286395565478,0.009060750000000001,0.03186504140625,0.40207294,0.9178272935609785
2002-04-01,0.0163535582349606,0.03203421606956362,0.008755905894861159,0.009698220703125001,0.035639729296875006,0.42643675,0.9178272935609785
2002-05-01,0.04055738112297848,0.05718023383934068,0.009873284473940447,0.01067895,0.062058965625000004,0.6195802,0.9178272935609785
2002-06-01,0.07131291814941267,0.0651512906683954,0.009693982433177008,0.010516500000000002,0.07068780000000001,0.9516899,0.9178272935609785
2002-07-01,0.07555249658340588,0.06342580934464052,0.010241975624130931,0.011089979296875,0.06882965859375,1.0325793,0.9178272935609785
2002-08-01,0.06917313321262307,0.05748317273466375,0.008651202446585812,0.0093843896484375,0.062378367187500006,1.0428635,0.9178272935609785
2002-09-01,0.045081350683524084,0.04947923698166383,0.007302325325012324,0.0079457396484375,0.053641620703125004,0.80326504,0.9178272935609785
2002-10-01,0.013463937200241612,0.022537013806188045,0.003202315687092549,0.0036670500000000007,0.025836929296875002,0.5074685,0.9178272935609785
2002-11-01,0.009089375189834548,0.020901348777374828,0.003446584896390905,0.0041138103515625,0.025052220703125003,0.35059533,0.9178272935609785
2002-12-01,0.005133066541304124,0.013074442414072605,0.003648978020102084,0.00409076982421875,0.014658659472656252,0.3256387,0.9178272935609785
2003-01-01,0.005480363270570647,0.012215285960407444,0.0030810438177488954,0.0036360000000000003,0.01422890947265625,0.3471499,0.9183881334025251
2003-02-01,0.01042071917689211,0.022102904573900753,0.008422941843506938,0.0092448896484375,0.02422305,0.38731268,0.9183881334025251
2003-03-01,0.01576523696975872,0.03177293338833286,0.010766893194231153,0.0121770896484375,0.03613220859375,0.40207294,0.9183881334025251
2003-04-01,0.013923507378927428,0.026495334409433965,0.007380325960518354,0.00832473017578125,0.030225332812500002,0.42643675,0.9183881334025251
2003-05-01,0.03800339150929923,0.05339643760305926,0.009169291070467699,0.009894870703125001,0.05793435,0.6195802,0.9183881334025251
2003-06-01,0.06987584467480723,0.06377590222870495,0.00913828231032635,0.009879570703125002,0.06921503437500001,0.9516899,0.9183881334025251
2003-07-01,0.07315607721751577,0.06159116137897548,0.0076868903510573065,0.008339039648437501,0.06682725,1.0325793,0.9183881334025251
2003-08-01,0.07257950941832822,0.05999414419320732,0.012580708352323673,0.013621500000000002,0.0651080671875,1.0428635,0.9183881334025251
2003-09-01,0.0460083808366897,0.0503082753245581,0.007350373917745855,0.00795348017578125,0.0546228,0.80326504,0.9183881334025251
2003-10-01,0.018267205366270887,0.03242013915161367,0.0032443043140643344,0.0035168398681640627,0.03517929140625,0.5074685,0.9183881334025251
2003-11-01,0.008754650118044946,0.02093137056788553,0.00442855809406696,0.0049658396484375,0.023543820703125,0.35059533,0.9183881334025251
2003-12-01,0.0044964863762461706,0.011064498606912077,0.0026831149239266894,0.003125429956054688,0.012949109472656251,0.3256387,0.9183881334025251
2004-01-01,0.0059943889401974865,0.014163460151298615,0.003802767099974682,0.004234140087890625,0.01569204140625,0.3471499,0.9183881334025251
2004-02-01,0.008966324940343048,0.018350775893678634,0.007535544392261084,0.0085307396484375,0.020645820703125,0.38731268,0.9183881334025251
2004-03-01,0.01945413369178336,0.04062477435377507,0.013078750581600768,0.014363910351562502,0.0444663,0.40207294,0.9183881334025251
2004-04-01,0.025406416687020532,0.05163771930036049,0.010317103694224342,0.011190600000000002,0.05603445,0.42643675,0.9183881334025251
2004-05-01,0.030028035677418668,0.0424793990059983,0.0058070725459729204,0.00625698017578125,0.046112758593750004,0.6195802,0.9183881334025251
