,ETkc,petsum,aetsum,aetimsum,petimsum,kc_mean,irr_frac
2001-01-01,0.0,5.647360624941177e-05,1.4882645521568626e-06,2.879999828338623e-06,0.0001071,0.49653026,0.0013432793163565692
2001-02-01,0.0,0.0,0.0,0.0,0.0,0.5017434,0.0013432793163565692
2001-03-01,0.0,0.0,0.0,0.0,0.0,0.52259564,0.0013432793163565692
2001-04-01,0.0,0.0,0.0,0.0,0.0,0.5382348,0.0013432793163565692
2001-05-01,5.96233631649038e-05,0.0007912866800481864,2.4149347309044123e-05,3.6e-05,0.0011755800659179689,0.553874,0.0013432793163565692
2001-06-01,5.7899849576618585e-05,0.002040040064016079,3.191827598357845e-05,4.185000000000001e-05,0.00248355,0.55908716,0.0013432793163565692
2001-07-01,0.0002042203175890797,0.00353250333822223,0.00012370188202110295,0.00015029998626708984,0.00410156982421875,0.55908716,0.0013432793163565692
2001-08-01,0.0001026389700840582,0.003770180589310245,5.644135547276962e-05,7.064999313354492e-05,0.004381650439453126,0.55908716,0.0013432793163565692
2001-09-01,7.406075820094408e-05,0.0033242758085826715,4.022646615350491e-05,4.7790002059936526e-05,0.0038756698242187505,0.55908716,0.0013432793163565692
2001-10-01,6.985346866043191e-05,0.001651362110113652,4.292736952360295e-05,4.796999588012696e-05,0.0018828,0.55908716,0.0013432793163565692
2001-11-01,0.0,0.00022592084263357842,3.41474200925e-05,5.615999794006347e-05,0.0003762,0.54866105,0.0013432793163565692
2001-12-01,0.0,0.0,0.0,0.0,0.0,0.41833436,0.0013432793163565692
2002-01-01,0.0,0.0,0.0,0.0,0.0,0.49653026,0.0013432793163565692
2002-02-01,0.0,0.0,0.0,0.0,0.0,0.5017434,0.0013432793163565692
2002-03-01,0.0,0.0,0.0,0.0,0.0,0.52259564,0.0013432793163565692
2002-04-01,0.0,0.0,0.0,0.0,0.0,0.5382348,0.0013432793163565692
