,p_prism,p_gpm,p_dmet,p_chirps,p_psn
2001-09-30,2.856574915974036e-07,0.001351481142878694,0.0,0.01154159301422883,0.002645104821511654
2001-10-31,0.022765560606750893,0.03456018374190257,0.023581716939998228,0.04908452689428459,0.03945700571639056
2001-11-30,0.16659186767731984,0.21252576317867777,0.20505503039147757,0.1792681688864682,0.2309174222839182
2001-12-31,0.23901636204464674,0.2785110376108278,0.2320674268955468,0.23131574151992348,0.3011344249576612
2002-01-31,0.08535150309107203,0.09725129731358782,0.08977307844837111,0.10602096047942738,0.08780804463036446
2002-02-28,0.023213469256154938,0.04355024082157604,0.0331481650784929,0.043449945084336444,0.04718712191990975
2002-03-31,0.09230881118536717,0.1260270234067194,0.10171067426212713,0.10075312924759092,0.09490569987094438
2002-04-30,0.031203911016935256,0.05646519813852658,0.025816509426543344,0.04259920272519232,0.03652923441766942
2002-05-31,0.015506506683972715,0.03742956739458527,0.02325931137763726,0.022605765865866875,0.022791646244806833
2002-06-30,0.0037443276240333796,0.005942475039323179,0.0,0.006030730495488609,0.006951258877604406
2002-07-31,0.0,0.0005567680002855678,0.0,0.0022200943005535475,0.0004829837669406904
2002-08-31,0.0,0.0006290800899649678,0.0,0.0031532624639499657,0.000863637771720225
2002-09-30,4.7421935698399255e-06,0.0012669004260928809,0.0,0.01155850501465055,0.00010524879212251091
2002-10-31,2.5771375972484046e-05,0.0038510467367633768,0.0,0.02051809090427384,0.00017600397287299407
2002-11-30,0.16302378503781367,0.2552749892252036,0.18908852724560607,0.1500603096840077,0.31740527470341534
2002-12-31,0.15362372597586307,0.25727755078576503,0.19535108716779473,0.16387644904397417,0.35668797666956487
2003-01-31,0.023524752903743874,0.02686471018755525,0.01993340798420724,0.05097754445904459,0.02350233687679671
2003-02-28,0.12545936350215214,0.21808220210651688,0.14638984175771144,0.173872818744259,0.21586119349902153
2003-03-31,0.06528014376359641,0.10945846881311,0.07404847607435056,0.08160909947912566,0.11957633655641645
2003-04-30,0.13804099974707493,0.20624327826463526,0.15732427984788253,0.11495171386065932,0.20289215011316117
2003-05-31,0.08423914886261512,0.10207747570119782,0.08526104250555355,0.0450804716842077,0.1043783516866844
2003-06-30,5.3175116793190616e-05,0.0006471153622566686,0.0,0.005044460561052874,0.0012262700486565833
2003-07-31,0.001517301826601815,0.017272571001582162,0.0010569978526496014,0.002982423741610614,0.0247103836331972
2003-08-31,0.00388049160719295,0.01643433250427806,0.00016240481452441672,0.003522727036204951,0.021605668735266627
2003-09-30,0.0017859570160567155,0.00725070451984466,0.000237830032320794,0.013142132377602679,0.004497203049104256
2003-10-31,0.00016596735318971577,0.0038140553145741495,0.006962119922176954,0.02092372197247014,0.002417148173970617
2003-11-30,0.0565636595181771,0.08317569177464064,0.048890541328699,0.07533727735358031,0.0844391603337516
2003-12-31,0.18371804621666993,0.27077589143542774,0.2042605815191216,0.14690509277849323,0.2790975096718756
2004-01-31,0.09295277182465214,0.10653621914382513,0.07765193090465927,0.11755376833655601,0.11087291712201483
2004-02-29,0.21085331254843703,0.3051919558847767,0.2327960460202166,0.22540951114786542,0.4042213356689215
2004-03-31,0.05089174402567328,0.06260064026576322,0.049166744091336735,0.07291586258696464,0.03419757296595397
2004-04-30,0.013694512467702476,0.022236582895976395,0.014566889916810316,0.025725647045097468,0.022146521966658193
2004-05-31,6.078897810183356e-06,0.007199437685389821,0.0,0.014692000951740235,0.008486945345576168
2004-06-30,0.0,0.0005500376799298156,0.0,0.00507853304103975,0.0002643837148310047
2004-07-31,0.0,0.0014694796174859264,0.0,0.0022460991442975766,0.0026222497301322156
2004-08-31,0.0,0.0019827996729191626,0.0,0.0031538151443895883,0.002189993611777805
2004-09-30,6.140414735664955e-07,0.0015408080415168955,0.0,0.012168192292163711,0.00064873410068998
2004-10-31,0.16230889130791218,0.23756820273404683,0.17852004510025682,0.12876828897753437,0.3118041302689955
2004-11-30,0.058978670659174746,0.07573145538705915,0.055169492496371625,0.04289654246297392,0.07623914297498359
2004-12-31,0.15658297911153463,0.2571756946855411,0.17012726807298179,0.1375893642545266,0.43303187219705974
2005-01-31,0.29409892756214556,0.4038823580782698,0.3011991460742596,0.31418865746999425,0.5173486394396968
2005-02-28,0.12614190335314263,0.2579708807016193,0.18263415807861041,0.1571245804966102,0.3310319832126222
2005-03-31,0.20420853709171835,0.2557501801052936,0.2370186168211308,0.17626115060462505,0.2649223229240248
2005-04-30,0.07079918744948738,0.10479932165913909,0.06550602285229505,0.0751042784048322,0.07780553761352264
2005-05-31,0.11921130754810924,0.16558790737414175,0.1417633710465658,0.0671749862781111,0.1171601834208752
2005-06-30,0.0,0.0008756710227923145,0.0,0.005025558007456633,0.00803853261324394
2005-07-31,4.6322415922409525e-05,0.0010240540851341846,0.0,0.0022177744048344434,0.0016018608254891088
2005-08-31,1.0550742850378494e-05,0.008442148621251732,6.993171215234747e-05,0.003811799016442391,0.011098159129104735
2005-09-30,0.0014853452578104612,0.01972810755802055,0.002364096231000438,0.012978624281658833,0.0272892108308261
2005-10-31,0.02010622140579399,0.03868284406104426,0.010343405235488408,0.03665040592047529,0.04928825702909404
2005-11-30,0.012977812313369634,0.026652397947744728,0.011700796398879835,0.04412818275508111,0.04869256323604651
2005-12-31,0.11471935027233178,0.23033828835298223,0.16848603380134547,0.15497737470207468,0.31198400567988976
2006-01-31,0.3225836997031933,0.360102015669052,0.274427377024292,0.22767131342328042,0.2811018390232241
2006-02-28,0.03620730309868973,0.1040865628777803,0.05298564597329934,0.0670162896027583,0.18035108016464982
