,sm_smos,sm_smap,sm_tc,sm_gldas,sm_fldas
2001-09-30,,,0.03413451269140079,1.217057417556258,6067.020997101419
2001-10-31,,,0.03086143877601882,1.2085442594630562,6075.82453821864
2001-11-30,,,0.03945698831821805,1.292451889728533,7126.260964100147
2001-12-31,,,0.07114431363513726,1.509780235706339,7980.265509978316
2002-01-31,,,0.06475598841735529,1.7413464850604365,8658.380582637861
2002-02-28,,,0.053916382843281575,1.701342373678599,8321.788156279688
2002-03-31,,,0.04708698312222118,1.6554497306216207,8190.148852207946
2002-04-30,,,0.04223644864110431,1.5157731464877156,7459.002837330729
2002-05-31,,,0.03674785904278589,1.3761450045777037,6913.542051615431
2002-06-30,,,0.032367655537643925,1.2652799476465482,6433.049526914916
2002-07-31,,,0.028153830709207846,1.2019106847231054,6126.282181368255
2002-08-31,,,0.025827786917446277,1.1683763189342065,5972.475320471872
2002-09-30,,,0.023889801876178823,1.1512060475056063,5926.250807411896
2002-10-31,,,0.022061171916799998,1.1440711439580595,6018.269928587664
2002-11-30,,,0.028769489593123136,1.277761248812216,6942.721375454406
2002-12-31,,,0.07717562797357175,1.510111003910774,7641.728293382568
2003-01-31,,,0.0631684681615561,1.6722415485078421,8098.621753274027
2003-02-28,,,0.0625718973387796,1.7223722166628626,8262.181748647892
2003-03-31,,,0.05248758803757177,1.734663815687099,8303.43348938955
2003-04-30,,,0.04728409334643452,1.6728172810870445,8003.463708459559
2003-05-31,,,0.04145672309820235,1.573344408741269,7509.392225148301
2003-06-30,,,0.03463101489553568,1.3635519738017234,6649.628460970087
2003-07-31,,,0.030075951335303528,1.2489181106210987,6295.7579569843
2003-08-31,,,0.02704670111944784,1.2102804103860305,6149.99347664454
2003-09-30,,,0.024845020121449412,1.179763940942179,6044.130789237506
2003-10-31,,,0.023025886405571766,1.164569259100772,5996.821095949837
2003-11-30,,,0.022970133589935687,1.1863364721425063,6671.931072174822
2003-12-31,,,0.06087665410931451,1.3216210077623927,7205.755035337428
2004-01-31,,,0.05733625312838275,1.5593544343444266,8099.941931556292
2004-02-29,,,0.08108111592749177,1.6387856486216439,8297.755426574757
2004-03-31,,,0.06246251588346981,1.72248977624517,8077.035642635231
2004-04-30,,,0.050433545836825106,1.5139654510054446,7229.466513582607
2004-05-31,,,0.04302324968829491,1.3443156705345405,6556.342924373659
2004-06-30,,,0.036872454683708235,1.2494051985706611,6297.179268746446
2004-07-31,,,0.03184182766009726,1.1975237687083011,6062.136738203322
2004-08-31,,,0.02833271288209569,1.164646167781422,5916.743070151455
2004-09-30,,,0.026038053045509015,1.1466977594538132,5889.086490090225
2004-10-31,,,0.02493445681232314,1.2095220438272398,6295.002936715922
2004-11-30,,,0.025793703242089412,1.4203642250779658,7206.784163618209
2004-12-31,,,0.12339227583508078,1.4921688454650297,7416.55952864654
2005-01-31,,,0.24566181357929412,2.0629811794252317,9117.76360704249
2005-02-28,,,0.24736845535031216,2.1689737705109273,9242.006371401041
2005-03-31,,,0.17290412365542904,2.1682556677951252,9333.715702636167
2005-04-30,,,0.10917929487982432,2.055753873357965,8865.18021095539
2005-05-31,,,0.08257288624569727,1.8740646773799856,8282.782355096097
2005-06-30,,,0.06482999235122196,1.6126788905300407,7125.780835259449
2005-07-31,,,0.05339356552493176,1.4239029713749591,6593.31612788122
2005-08-31,,,0.045859725943265886,1.3438794426428435,6334.377955409321
2005-09-30,,,0.04046421293578039,1.3062382446100116,6222.207697551411
2005-10-31,,,0.03615621317491451,1.305817949091718,6397.810980190619
2005-11-30,,,0.032555856031824315,1.329107372682607,6816.054836151252
2005-12-31,,,0.07337115099617883,1.4319727039009735,7450.189391403198
2006-01-31,,,0.15481379965128783,1.8172956050232858,8869.309604615768
2006-02-28,,,0.11520510210610195,1.7590400024831303,8215.486694058367
2006-03-31,,,0.11075431930217412,1.8751603688382414,8988.45384490239
2006-04-30,,,0.0933797272355137,2.1831306137127964,9677.291344042089
2006-05-31,,,0.06812273092166275,1.9348025966107076,8349.183935680307
2006-06-30,,,0.05381976410473412,1.6672710266171629,7246.020386334653
2006-07-31,,,0.04480410517343372,1.4722571010752619,6603.346681876088
2006-08-31,,,0.03876680818768314,1.3639731468069107,6328.351021433588
2006-09-30,,,0.03460492383733961,1.316152509330692,6181.898995360441
2006-10-31,,,0.031166471834603925,1.3105002455443282,6477.964387061507
2006-11-30,,,0.028622597649267452,1.311148045468764,6557.863312533851
2006-12-31,,,0.027762666953788238,1.359051779763063,7019.377523066936
2007-01-31,,,0.026225658235080787,1.4421446248284835,7268.696094366485
2007-02-28,,,0.02662747698517333,1.5478207409535982,7782.768690574723
2007-03-31,,,0.026500609975717647,1.5214136287801696,7633.648012211816
2007-04-30,,,0.025143498295014905,1.4291316547875903,7277.049499206629
2007-05-31,,,0.02369272351001098,1.3287262663896546,6588.563684803836
2007-06-30,,,0.021269851199447846,1.2596231298782286,6190.712742722195
2007-07-31,,,0.01906647107061961,1.2196368647880744,5986.50343805625
2007-08-31,,,0.017796849827036863,1.1926484987529793,5863.921072347348
2007-09-30,,,0.01692507683418353,1.1831255823989535,5844.10403798636
2007-10-31,,,0.015806277384633728,1.1883851572343356,5960.193571466836
2007-11-30,,,0.015348142372341961,1.19620492720532,6311.13483430801
2007-12-31,,,0.02413063259878902,1.2537396257062303,6764.566691228989
2008-01-31,,,0.12865560038460233,1.6385487132750842,7924.144240219414
2008-02-29,,,0.10973585978950273,1.7481116937107561,8423.518818924133
2008-03-31,,,0.0801365471922698,1.7082676143338418,7912.611693910976
