,r_tc,r_gldas,r_fldas,r_ecmwf
2001-09-30,0.0,0.0023388335255365308,0.00010318652795944435,0.007939536454963777
2001-10-31,6.785546916470588e-05,0.002499039099356927,0.0015910011823648423,0.006866606809317363
2001-11-30,0.013488609869317653,0.0046335359053949685,0.011299834335886017,0.04255411610599428
2001-12-31,0.013035976986113735,0.006124402526442616,0.00797929369238829,0.05791651899189469
2002-01-31,0.004917360242470591,0.0029321319829779873,0.008834235481387289,0.026324281783856363
2002-02-28,0.0005773630392117647,0.0027300957839763995,0.002173530031225271,0.030218029487111872
2002-03-31,0.005366307103356868,0.0033336494267660523,0.0072251272203886045,0.05645379364286127
2002-04-30,0.004769561393878433,0.0021423543066563574,0.0006743974307384627,0.04158175363853805
2002-05-31,0.0005078934317803922,0.0018242447700617223,0.0002805635380707229,0.031572967275196026
2002-06-30,0.0,0.0015257218544404878,0.0001275084384062361,0.021185882406360334
2002-07-31,0.0,0.0014499422288819829,8.448256737620279e-05,0.01358174496854927
2002-08-31,0.0,0.0013701835534951682,8.191754801658556e-05,0.008790847296275859
2002-09-30,0.0,0.0012695911506179177,8.263673115576759e-05,0.006295312971695452
2002-10-31,0.0,0.0012636367580652838,0.00019874842654987973,0.00477718984039746
2002-11-30,0.012854031796800008,0.00874424534553498,0.012388204605222866,0.07142139578723224
2002-12-31,0.014151020670254902,0.006439011255618297,0.007498130371967396,0.03136586215484883
2003-01-31,0.0003977652121411764,0.0016023833175872228,0.0008282842705619994,0.008046979599095139
2003-02-28,0.012413265154768649,0.005772569615238223,0.007272431404566892,0.020644036262032216
2003-03-31,0.005208057549686277,0.005902113301492221,0.0046137887129289795,0.03930983737239054
2003-04-30,0.014467679581847057,0.0057044183574852456,0.01354289964892027,0.04010402762447083
2003-05-31,0.005094011547396082,0.004041175248112326,0.0020662683373059623,0.062154050723734276
2003-06-30,0.0,0.0025795351882587246,0.00010690432919851788,0.032488631664313566
2003-07-31,0.0,0.0020350165732880335,8.533204184757726e-05,0.01843288829486295
2003-08-31,1.2053327090196079e-05,0.001719315081654176,7.931549676551754e-05,0.011344364259065742
2003-09-30,0.0,0.0014667010574133017,8.788150946729037e-05,0.007354220611376481
2003-10-31,0.0,0.0013856843816435328,8.923996621286982e-05,0.005421092501653246
2003-11-30,0.005403306453980399,0.0017125571400462695,0.0024813368908993792,0.008160203033944205
2003-12-31,0.013474337848070587,0.005536107517534819,0.0077865648481710015,0.05581258500191048
2004-01-31,0.005880375031235304,0.0024832336403579625,0.004664972746551737,0.020058000432709083
2004-02-29,0.016017511334956862,0.019162941169154582,0.016208104726801766,0.09417291394896543
2004-03-31,0.004005030462317641,0.0052393042483017535,0.0053058006525553165,0.06930072041452356
2004-04-30,0.00023596878627058827,0.0037290484925956474,0.0003605490136133918,0.04277216580721316
2004-05-31,0.0,0.002625266661867351,0.00013576274603834603,0.02502873709135111
2004-06-30,0.0,0.001983586138423744,7.781836864494123e-05,0.01496127431205913
2004-07-31,0.0,0.001760790280074508,7.323735775784573e-05,0.009312563416106654
2004-08-31,0.0,0.0015912781249569246,7.107063374770402e-05,0.006045207510714298
2004-09-30,0.0,0.0014295730375265465,0.0001541052159933875,0.0042780150878788895
2004-10-31,0.012923960041721569,0.008699150464569804,0.00866937710682246,0.045562064558686347
2004-11-30,0.006856188451658829,0.0014095209354569643,0.0011820861863038852,0.009866898701092214
2004-12-31,0.020628940946345098,0.01243304636925196,0.005508137402650099,0.07614862032578161
2005-01-31,0.0352536702748667,0.06718374238827071,0.014637422400666735,0.33343239789960827
