,SCC,TRM
2008-02-01,0.0242933886,0.04969937616
2008-03-01,0.01599700212,0.05283734928
2008-04-01,0.02814678012,0.11442007176
2008-05-01,0.0398352366,0.20800913328
2008-06-01,0.01688880816,0.16432667256
2008-07-01,0.00938308236,0.04387365012
2008-08-01,0.00661021932,0.01677409452
2008-09-01,0.00514484508,0.01386554868
2008-10-01,0.0044158584,0.01438977768
2008-11-01,0.00604528548,0.02638783764
2008-12-01,0.00881444808,0.02012175924
2009-01-01,0.01455136356,0.04310765904
2009-02-01,0.02475100968,0.042585897
2009-03-01,0.03639259392,0.0786775218
2009-04-01,0.0468660726,0.14142218244
2009-05-01,0.0481735614,0.22552824972
2009-06-01,0.0481735614,0.13500191904
2009-07-01,0.01265673828,0.03921109572
2009-08-01,0.00792387552,0.01463153976
2009-09-01,0.00612669516,0.0118599102
2009-10-01,0.00790537332,0.02215083384
2009-11-01,0.0086713644,0.01740686976
2009-12-01,0.00912651852,0.01763999748
2010-01-01,0.01128140808,0.015567751080000001
2010-02-01,0.02621145,0.02837004
2010-03-01,0.00940405152,0.05241303216
2010-04-01,0.0374422854,0.1291700256
2010-05-01,0.04762589628,0.1776889614
2010-06-01,0.05033461836,0.22276772148
2010-07-01,0.02862783732,0.11050994016
2010-08-01,0.0095348004,0.02566995228
2010-09-01,0.0070555056,0.01246924932
2010-10-01,0.00730960248,0.0183973542
2010-11-01,0.01095453588,0.02759664804
2010-12-01,0.05274237132,0.07862941608
2011-01-01,0.02129726568,0.04558448688
2011-02-01,0.02133427008,0.02361004068
2011-03-01,0.05213549916,0.1153735518
2011-04-01,0.04717567608,0.108607914
2011-05-01,0.04764069804,0.1579964532
2011-06-01,0.04901356128,0.22329195048
2011-07-01,0.04936510308,0.16876843404
2011-08-01,0.034327748400000004,0.06318131256
2011-09-01,0.01495101108,0.01287629772
2011-10-01,0.00874043928,0.02775700044
2011-11-01,0.01318343424,0.02493603168
2011-12-01,0.01660017384,0.01754501952
2012-01-01,0.02476087752,0.0345189378
2012-02-01,0.03150554616,0.0494378784
2012-03-01,0.04531682172,0.07961373312
2012-04-01,0.06821391096,0.161863413
2012-05-01,0.08006395332,0.2188255194
2012-06-01,0.06694959396,0.15833442672
2012-07-01,0.03914202084,0.04013867268
2012-08-01,0.00944598984,0.02088404988
2012-09-01,0.00717021924,0.01592546028
2012-10-01,0.00614149692,0.01437497592
2012-11-01,0.00611436036,0.01755612084
2012-12-01,0.01271471184,0.02258378532
2013-01-01,0.01962960072,0.03236404824
2013-02-01,0.02568475404,0.03283647108
2013-03-01,0.0319039602,0.05686836192
2013-04-01,0.03580545744,0.09593884092
2013-05-01,0.03646906968,0.11874958656
2013-06-01,0.03457567788,0.07202043024
2013-07-01,0.02704034856,0.03376774848
2013-08-01,0.00756493284,0.02393444592
2013-09-01,0.0060687216,0.01711823544
