Date,Cum_end_stor_km3
7/31/1991,2.057565455
8/31/1991,1.838108659
9/30/1991,1.658142613
10/31/1991,1.683137024
11/30/1991,1.672936102
12/31/1991,1.711587824
1/31/1992,1.760316625
2/29/1992,1.878908152
3/31/1992,1.941688492
4/30/1992,1.732148789
5/31/1992,1.395657267
6/30/1992,1.145761022
7/31/1992,0.874681881
8/31/1992,0.582949263
9/30/1992,0.428352241
10/31/1992,0.410609824
11/30/1992,0.445916788
12/31/1992,0.519266495
1/31/1993,0.736920777
2/28/1993,1.00012328
3/31/1993,1.259807965
4/30/1993,1.357118656
5/31/1993,1.350721109
6/30/1993,1.354237324
7/31/1993,1.26754349
8/31/1993,1.143167094
9/30/1993,1.034999259
10/31/1993,1.058467954
11/30/1993,1.12177105
12/31/1993,1.170733969
1/31/1994,1.227202489
2/28/1994,1.307298701
3/31/1994,1.248479624
4/30/1994,1.165870032
5/31/1994,0.817761037
6/30/1994,0.539888148
7/31/1994,0.292309403
8/31/1994,0.054757409
9/30/1994,-0.064299025
10/31/1994,-0.084476864
11/30/1994,-0.027317091
12/31/1994,0.028100734
1/31/1995,0.297935519
2/28/1995,0.51952849
3/31/1995,1.017681659
4/30/1995,1.307031772
5/31/1995,1.3992544
6/30/1995,1.455463391
7/31/1995,1.448211644
8/31/1995,1.447713927
9/30/1995,1.445194257
10/31/1995,1.532090755
11/30/1995,1.620503471
12/31/1995,1.738726058
1/31/1996,1.86527699
2/29/1996,2.115172495
3/31/1996,2.359122777
4/30/1996,2.420196816
5/31/1996,2.384489335
6/30/1996,2.302343786
7/31/1996,2.208627513
8/31/1996,2.078466619
9/30/1996,1.961114883
10/31/1996,2.025119101
11/30/1996,2.141247822
12/31/1996,2.440454833
1/31/1997,2.948128895
2/28/1997,3.369334854
3/31/1997,3.558184197
4/30/1997,3.642770596
5/31/1997,3.398576452
6/30/1997,3.294905094
7/31/1997,3.130436618
8/31/1997,2.967322155
9/30/1997,2.86490169
10/31/1997,2.911301519
11/30/1997,2.990197659
12/31/1997,3.078051477
1/31/1998,3.244121899
2/28/1998,3.644489725
3/31/1998,4.136206615
4/30/1998,4.517504408
5/31/1998,4.761565828
6/30/1998,4.885760529
7/31/1998,4.901604836
8/31/1998,4.890218521
9/30/1998,4.965121698
10/31/1998,4.987804407
11/30/1998,5.100256187
12/31/1998,5.205297594
1/31/1999,5.401707429
2/28/1999,5.581640664
3/31/1999,5.646279888
4/30/1999,5.62806578
5/31/1999,5.374873869
6/30/1999,5.14786238
7/31/1999,4.910692894
8/31/1999,4.696161957
9/30/1999,4.554985292
10/31/1999,4.529205265
11/30/1999,4.555038086
12/31/1999,4.548204372
1/31/2000,4.607414963
2/29/2000,4.803636442
3/31/2000,4.970985141
4/30/2000,4.936021583
5/31/2000,4.83090074
6/30/2000,4.700284438
7/31/2000,4.584675637
8/31/2000,4.386316872
9/30/2000,4.259498764
10/31/2000,4.293154688
11/30/2000,4.328912372
12/31/2000,4.323094446
1/31/2001,4.383307872
2/28/2001,4.464472912
3/31/2001,4.483114674
4/30/2001,4.39619067
5/31/2001,4.173273413
6/30/2001,3.974071551
7/31/2001,3.786103543
8/31/2001,3.50784938
9/30/2001,3.355966428
10/31/2001,3.346374115
11/30/2001,3.39416928
12/31/2001,3.414306537
1/31/2002,3.489979912
2/28/2002,3.496236471
3/31/2002,3.433872561
4/30/2002,3.317412152
5/31/2002,2.979554158
6/30/2002,2.726133187
7/31/2002,2.472900077
8/31/2002,2.213261402
9/30/2002,2.066335023
10/31/2002,2.071067223
11/30/2002,2.182362721
12/31/2002,2.265949861
1/31/2003,2.316530146
2/28/2003,2.381272983
3/31/2003,2.302444809
4/30/2003,2.288119557
5/31/2003,2.173471036
6/30/2003,1.99799641
7/31/2003,1.776722052
8/31/2003,1.524996773
9/30/2003,1.376784347
10/31/2003,1.393575242
11/30/2003,1.403588672
12/31/2003,1.464049291
1/31/2004,1.530993556
2/29/2004,1.610051532
3/31/2004,1.584689415
4/30/2004,1.472078636
5/31/2004,1.109260893
6/30/2004,0.862427799
7/31/2004,0.550170111
8/31/2004,0.282329031
9/30/2004,0.143066141
10/31/2004,0.196100103
11/30/2004,0.245139252
12/31/2004,0.316433332
1/31/2005,0.528897663
2/28/2005,0.748284766
3/31/2005,1.00100696
4/30/2005,1.092051965
5/31/2005,1.187273107
6/30/2005,1.107013703
7/31/2005,0.914875232
8/31/2005,0.760177186
9/30/2005,0.699430271
10/31/2005,0.720585783
11/30/2005,0.736205717
12/31/2005,0.800680145
1/31/2006,1.042999617
2/28/2006,1.233914579
3/31/2006,1.473727702
4/30/2006,1.84364177
5/31/2006,1.998726025
6/30/2006,1.972868041
7/31/2006,1.792308434
8/31/2006,1.668968549
9/30/2006,1.623951473
10/31/2006,1.609735139
11/30/2006,1.649473575
12/31/2006,1.688513357
1/31/2007,1.754731584
2/28/2007,1.806692648
3/31/2007,1.741898867
4/30/2007,1.668758361
5/31/2007,1.227647659
6/30/2007,0.888335369
7/31/2007,0.546382526
8/31/2007,0.22232715
9/30/2007,0.229948453
10/31/2007,0.208477535
11/30/2007,0.227207986
12/31/2007,0.26564915
1/31/2008,0.340748084
2/29/2008,0.454056284
3/31/2008,0.477580116
4/30/2008,0.35179087
5/31/2008,0.004824465
6/30/2008,-0.273552678
7/31/2008,-0.565610694
8/31/2008,-0.902916696
9/30/2008,-1.000567957
10/31/2008,-1.01571139
11/30/2008,-0.968785719
12/31/2008,-0.910444993
1/31/2009,-0.868358097
2/28/2009,-0.802229915
3/31/2009,-0.88703637
4/30/2009,-0.971015394
5/31/2009,-1.232266253
6/30/2009,-1.443335002
7/31/2009,-1.744590857
8/31/2009,-2.002144794
9/30/2009,-2.098506924
10/31/2009,-2.05654387
11/30/2009,-1.970541783
12/31/2009,-1.87958337
1/31/2010,-1.746583206
2/28/2010,-1.626525171
3/31/2010,-1.606044137
4/30/2010,-1.583972628
5/31/2010,-1.68552767
6/30/2010,-1.794816633
7/31/2010,-1.974842751
8/31/2010,-2.10343895
9/30/2010,-2.15078031
10/31/2010,-2.086485849
11/30/2010,-1.980959061
12/31/2010,-1.52114924
1/31/2011,-1.116816451
2/28/2011,-0.763471988
3/31/2011,-0.360419079
4/30/2011,-0.089312924
5/31/2011,0.099445263
6/30/2011,0.175781891
7/31/2011,0.116877455
8/31/2011,0.066641071
9/30/2011,0.095389269
10/31/2011,0.177184257
11/30/2011,0.28185364
12/31/2011,0.343763992
1/31/2012,0.419653599
2/29/2012,0.420107897
3/31/2012,0.334113458
4/30/2012,0.371150405
5/31/2012,0.02955799
6/30/2012,-0.204347901
7/31/2012,-0.464777003
8/31/2012,-0.741351756
9/30/2012,-0.859510941
10/31/2012,-0.84680071
11/30/2012,-0.82277139
12/31/2012,-0.736939773
1/31/2013,-0.683018307
2/28/2013,-0.717860365
3/31/2013,-0.780107709
4/30/2013,-0.945763799
5/31/2013,-1.26845406
6/30/2013,-1.578201082
7/31/2013,-1.925920044
8/31/2013,-2.175479051
9/30/2013,-2.286889511
10/31/2013,-2.284602355
11/30/2013,-2.273654919
12/31/2013,-2.249566761
1/31/2014,-2.239188462
2/28/2014,-2.28422108
3/31/2014,-2.338681215
4/30/2014,-2.445825739
5/31/2014,-2.733121951
6/30/2014,-2.976188923
7/31/2014,-3.241848558
8/31/2014,-3.457464112
9/30/2014,-3.567389315
10/31/2014,-3.582367705
11/30/2014,-3.541750524
12/31/2014,-3.484889011
1/31/2015,-3.440951987
2/28/2015,-3.439696038
3/31/2015,-3.563310623
4/30/2015,-3.653545342
5/31/2015,-3.934661102
6/30/2015,-4.180621496
7/31/2015,-4.414151663
8/31/2015,-4.654252438
9/30/2015,-4.720796803
