,p_prism,p_gpm,p_dmet,p_chirps,p_psn,aet_modis,aet_gldas,aet_tc,aet_fldas,sm_smos,sm_smap,sm_tc,sm_gldas,r_tc,r_gldas,r_fldas,r_ecmwf
2001-01-31,0.198849071427426,0.2638774863007287,0.21859553124406586,0.20816843183969427,0.3285009404618699,0.0483422175698255,0.04911986548061615,0.13154951806837595,0.06906095367371251,,,0.11282745617709176,1.438191670371845,0.018129209687415694,0.003827457634833926,0.01173770957948867,3.518437785726273e-07
2001-02-28,0.21684772080022496,0.3115029009749265,0.226806006671619,0.21572653876587455,0.3524619953010653,0.08212617292641529,0.07112643809953942,0.16755293514645425,0.10027446507342185,,,0.12326195128279843,1.6354637234780103,0.01369495978171373,0.009670670197957532,0.016784113653421306,3.981376995108216e-07
2001-03-31,0.05961749070721765,0.11001971812410065,0.049050191494315346,0.09640067726190908,0.1759428499834543,0.17213426140544585,0.20344589798331386,0.11310588248623024,0.19343694353415106,,,0.09189490176160628,1.8918301055270073,0.00666084016595687,0.00983156628667168,0.0015674982148728613,4.0303345877879155e-07
2001-04-30,0.13866455949493853,0.18954206071370489,0.15356963648343855,0.11181760675306922,0.13608965047272878,0.12102979829080945,0.233655949852143,0.16910558279468088,0.1531628605805657,,,0.07351069506780862,1.77854958772593,0.012249156478960797,0.011261111560236443,0.011933334465534585,6.326421985243055e-07
2001-05-31,4.611182586981973e-06,0.004961826856806983,0.0,0.016860141726400827,0.012063146726697373,0.1187058367181133,0.26530346922739545,0.017267447599965617,0.0959804699689077,,,0.06135492390590746,1.5663272317252748,1.0036825882352941e-07,0.005364853138469638,0.000250874051478909,4.077813197823599e-07
2001-06-30,0.0,0.000572964004477462,0.0,0.00503431797333298,0.0008456515609083817,0.05430114441972305,0.12402832598396382,0.010107111709859095,0.025014079919965012,,,0.04979616401608784,1.377599286288848,0.0,0.0036254867892812994,9.984022388487595e-05,2.3817100183730266e-07
2001-07-31,0.005371762901854381,0.014786289159838498,0.005564741733862819,0.0025145904659690937,0.012253866251529019,0.14634967173363447,0.06191790931419006,0.008060427380802978,0.010230838543157957,,,0.04296820751179294,1.2917116876872379,9.842181458823531e-06,0.0030320431944814274,9.488744389399952e-05,1.4536031818670384e-07
2001-08-31,0.0,0.0008602824480537002,0.0,0.003154698641685292,0.0009425816425910001,0.08842529855218406,0.020911551665185848,0.005977810292994835,0.005003933410602008,,,0.038008648548191366,1.2420826477913476,0.0,0.0026443741121153297,9.265581600060626e-05,8.856935948022722e-08
2001-09-30,2.856574915974036e-07,0.001351481142878694,0.0,0.01154159301422883,0.002645104821511654,0.0753504030734084,0.012217402222413694,0.005588407752084051,0.0027091056318334136,,,0.03413451269140079,1.217057417556258,0.0,0.0023388335255365308,0.00010318652795944435,6.050904940547475e-08
2001-10-31,0.022765560606750893,0.03456018374190257,0.023581716939998228,0.04908452689428459,0.03945700571639056,0.03798792256230346,0.013236979566359145,0.020085604210379766,0.008223845620498915,,,0.03086143877601882,1.2085442594630562,6.785546916470588e-05,0.002499039099356927,0.0015910011823648423,5.423282363485753e-08
2001-11-30,0.16659186767731984,0.21252576317867777,0.20505503039147757,0.1792681688864682,0.2309174222839182,0.048204893931945755,0.039987601035693675,0.16703346251076012,0.07176196098435828,,,0.03945698831821805,1.292451889728533,0.013488609869317653,0.0046335359053949685,0.011299834335886017,3.652742877113811e-07
2001-12-31,0.23901636204464674,0.2785110376108278,0.2320674268955468,0.23131574151992348,0.3011344249576612,0.04201915125432105,0.02960727005795641,0.11592823415656237,0.07779597689606442,,,0.07114431363513726,1.509780235706339,0.013035976986113735,0.006124402526442616,0.00797929369238829,5.096673822857386e-07
2002-01-31,0.08535150309107203,0.09725129731358782,0.08977307844837111,0.10602096047942738,0.08780804463036446,0.05735654478058554,0.049803979879596096,0.06491529084610488,0.0759778608620701,,,0.06475598841735529,1.7413464850604365,0.004917360242470591,0.0029321319829779873,0.008834235481387289,2.078217703465333e-07
2002-02-28,0.023213469256154938,0.04355024082157604,0.0331481650784929,0.043449945084336444,0.04718712191990975,0.10296175370764936,0.1126525977521166,0.03499181366548335,0.11734876649825489,,,0.053916382843281575,1.701342373678599,0.0005773630392117647,0.0027300957839763995,0.002173530031225271,2.1820549015066227e-07
2002-03-31,0.09230881118536717,0.1260270234067194,0.10171067426212713,0.10075312924759092,0.09490569987094438,0.1178041033040416,0.19358425041425725,0.07220402593500086,0.15797642616934598,,,0.04708698312222118,1.6554497306216207,0.005366307103356868,0.0033336494267660523,0.0072251272203886045,4.548873758255575e-07
2002-04-30,0.031203911016935256,0.05646519813852658,0.025816509426543344,0.04259920272519232,0.03652923441766942,0.10606588069517522,0.21212359261469557,0.05629506055658081,0.13447919196158845,,,0.04223644864110431,1.5157731464877156,0.004769561393878433,0.0021423543066563574,0.0006743974307384627,3.0830031129117154e-07
2002-05-31,0.015506506683972715,0.03742956739458527,0.02325931137763726,0.022605765865866875,0.022791646244806833,0.12560729683597768,0.15445843225109468,0.024216643296712366,0.06450847722216872,,,0.03674785904278589,1.3761450045777037,0.0005078934317803922,0.0018242447700617223,0.0002805635380707229,2.3318271597753786e-07
2002-06-30,0.0037443276240333796,0.005942475039323179,0.0,0.006030730495488609,0.006951258877604406,0.12584325561879853,0.07290046020933204,0.005071396302998482,0.027614262460914023,,,0.032367655537643925,1.2652799476465482,0.0,0.0015257218544404878,0.0001275084384062361,1.5467846473177717e-07
2002-07-31,0.0,0.0005567680002855678,0.0,0.0022200943005535475,0.0004829837669406904,0.11231910771499945,0.027951924225748312,0.003754485780667001,0.008904950299521298,,,0.028153830709207846,1.2019106847231054,0.0,0.0014499422288819829,8.448256737620279e-05,9.90517173714315e-08
2002-08-31,0.0,0.0006290800899649678,0.0,0.0031532624639499657,0.000863637771720225,0.08709935142256668,0.012024145789171001,0.003169159034479746,0.004009098737634649,,,0.025827786917446277,1.1683763189342065,0.0,0.0013701835534951682,8.191754801658556e-05,6.391613746857549e-08
2002-09-30,4.7421935698399255e-06,0.0012669004260928809,0.0,0.01155850501465055,0.00010524879212251091,0.0746964836517299,0.006950639631544075,0.003030571458548649,0.0023242269069229217,,,0.023889801876178823,1.1512060475056063,0.0,0.0012695911506179177,8.263673115576759e-05,4.5907595521522967e-08
2002-10-31,2.5771375972484046e-05,0.0038510467367633768,0.0,0.02051809090427384,0.00017600397287299407,0.036782632442525186,0.00424607312021249,0.002515647296211464,0.008469315934527703,,,0.022061171916799998,1.1440711439580595,0.0,0.0012636367580652838,0.00019874842654987973,3.512438779413093e-08
2002-11-30,0.16302378503781367,0.2552749892252036,0.18908852724560607,0.1500603096840077,0.31740527470341534,0.042606839805552944,0.0524966470597894,0.16128707647053306,0.05420498856041636,,,0.028769489593123136,1.277761248812216,0.012854031796800008,0.00874424534553498,0.012388204605222866,6.715544755870212e-07
2002-12-31,0.15362372597586307,0.25727755078576503,0.19535108716779473,0.16387644904397417,0.35668797666956487,0.05186599434539473,0.06295578733432572,0.11538151079394901,0.06874085627816398,,,0.07717562797357175,1.510111003910774,0.014151020670254902,0.006439011255618297,0.007498130371967396,2.6283114265967185e-07
2003-01-31,0.023524752903743874,0.02686471018755525,0.01993340798420724,0.05097754445904459,0.02350233687679671,0.033536942876111774,0.08233904536812654,0.02897226866116407,0.06828931978223375,,,0.0631684681615561,1.6722415485078421,0.0003977652121411764,0.0016023833175872228,0.0008282842705619994,5.809902666190558e-08
2003-02-28,0.12545936350215214,0.21808220210651688,0.14638984175771144,0.173872818744259,0.21586119349902153,0.1192265707838539,0.13168404309691872,0.152308131727335,0.11884608543516326,,,0.0625718973387796,1.7223722166628626,0.012413265154768649,0.005772569615238223,0.007272431404566892,1.6531456730692028e-07
2003-03-31,0.06528014376359641,0.10945846881311,0.07404847607435056,0.08160909947912566,0.11957633655641645,0.14251865935625402,0.23796072590993989,0.06847673484536151,0.15690795191405602,,,0.05248758803757177,1.734663815687099,0.005208057549686277,0.005902113301492221,0.0046137887129289795,2.917622266655433e-07
2003-04-30,0.13804099974707493,0.20624327826463526,0.15732427984788253,0.11495171386065932,0.20289215011316117,0.09887823712027505,0.24809542083846264,0.17640272863288137,0.13003171815492945,,,0.04728409334643452,1.6728172810870445,0.014467679581847057,0.0057044183574852456,0.01354289964892027,3.062700877905465e-07
2003-05-31,0.08423914886261512,0.10207747570119782,0.08526104250555355,0.0450804716842077,0.1043783516866844,0.11997794350055767,0.2821365219691108,0.06504808067144936,0.1106425298770999,,,0.04145672309820235,1.573344408741269,0.005094011547396082,0.004041175248112326,0.0020662683373059623,4.53093569569856e-07
2003-06-30,5.3175116793190616e-05,0.0006471153622566686,0.0,0.005044460561052874,0.0012262700486565833,0.12009355902748536,0.15649961486080557,0.004827637979815664,0.032593337531418826,,,0.03463101489553568,1.3635519738017234,0.0,0.0025795351882587246,0.00010690432919851788,2.3142009787056212e-07
2003-07-31,0.001517301826601815,0.017272571001582162,0.0010569978526496014,0.002982423741610614,0.0247103836331972,0.08063084392212108,0.07029108066314682,0.0042450604232519284,0.011932237374462761,,,0.030075951335303528,1.2489181106210987,0.0,0.0020350165732880335,8.533204184757726e-05,1.3190260830379654e-07
2003-08-31,0.00388049160719295,0.01643433250427806,0.00016240481452441672,0.003522727036204951,0.021605668735266627,0.12928235706054528,0.05354034815057579,0.00562906740618132,0.007007731336368623,,,0.02704670111944784,1.2102804103860305,1.2053327090196079e-05,0.001719315081654176,7.931549676551754e-05,8.070628194562032e-08
